iter	Passed	Remaining
0	86	17182
1	172	17112
2	195	12834
3	256	12581
4	351	13702
5	372	12029
6	472	13015
7	597	14340
8	689	14629
9	797	15155
10	838	14410
11	877	13750
12	977	14054
13	1078	14329
14	1202	14829
15	1351	15543
16	1389	14960
17	1471	14876
18	1555	14820
19	1635	14721
20	1716	14633
21	1797	14545
22	1877	14451
23	1951	14311
24	2028	14202
25	2059	13782
26	2135	13683
27	2211	13584
28	2248	13258
29	2327	13186
30	2401	13093
31	2478	13010
32	2557	12942
33	2635	12867
34	2673	12601
35	2784	12685
36	2873	12657
37	2956	12603
38	3031	12513
39	3104	12418
40	3181	12338
41	3260	12265
42	3352	12241
43	3487	12364
44	3543	12206
45	3640	12188
46	3683	11992
47	3776	11957
48	3872	11935
49	3953	11860
50	4033	11783
51	4115	11713
52	4144	11494
53	4221	11413
54	4310	11363
55	4395	11303
56	4481	11243
57	4563	11172
58	4640	11090
59	4720	11013
60	4808	10957
61	4900	10907
62	4978	10825
63	5051	10735
64	5125	10646
65	5197	10552
66	5276	10475
67	5360	10405
68	5427	10305
69	5514	10241
70	5597	10169
71	5674	10088
72	5763	10027
73	5857	9973
74	5938	9897
75	5955	9716
76	6030	9632
77	6078	9507
78	6170	9451
79	6259	9389
80	6338	9312
81	6416	9233
82	6489	9147
83	6566	9068
84	6649	8996
85	6737	8930
86	6814	8851
87	6888	8766
88	6963	8685
89	7034	8597
90	7110	8516
91	7185	8435
92	7268	8363
93	7354	8293
94	7435	8218
95	7508	8134
96	7582	8051
97	7668	7981
98	7744	7900
99	7817	7817
100	7895	7739
101	7980	7667
102	8074	7603
103	8152	7525
104	8227	7444
105	8305	7365
106	8376	7280
107	8453	7200
108	8526	7118
109	8598	7034
110	8671	6952
111	8745	6871
112	8822	6792
113	8907	6719
114	8982	6639
115	9059	6560
116	9136	6481
117	9209	6399
118	9283	6318
119	9357	6238
120	9434	6159
121	9507	6078
122	9589	6002
123	9667	5925
124	9755	5853
125	9836	5777
126	9915	5699
127	9994	5622
128	10087	5551
129	10180	5481
130	10263	5405
131	10338	5325
132	10417	5247
133	10498	5171
134	10574	5091
135	10649	5011
136	10725	4932
137	10801	4852
138	10881	4775
139	10954	4694
140	11029	4615
141	11110	4538
142	11181	4456
143	11254	4376
144	11328	4297
145	11402	4217
146	11477	4138
147	11549	4058
148	11626	3979
149	11697	3899
150	11789	3825
151	11875	3750
152	11955	3672
153	12028	3593
154	12106	3514
155	12178	3434
156	12251	3355
157	12322	3275
158	12397	3196
159	12468	3117
160	12539	3037
161	12613	2958
162	12690	2880
163	12764	2801
164	12835	2722
165	12905	2643
166	12977	2564
167	13049	2485
168	13120	2406
169	13195	2328
170	13268	2250
171	13348	2173
172	13422	2094
173	13494	2016
174	13566	1938
175	13637	1859
176	13711	1781
177	13784	1703
178	13865	1626
179	13951	1550
180	14022	1472
181	14105	1395
182	14180	1317
183	14250	1239
184	14329	1161
185	14401	1084
186	14477	1006
187	14557	929
188	14630	851
189	14702	773
190	14776	696
191	14895	620
192	14970	542
193	15046	465
194	15121	387
195	15192	310
196	15262	232
197	15340	154
198	15419	77
199	15492	0
