iter	RMSE
0	42367.58532
1	41254.45905
2	39560.83807
3	38106.71666
4	37273.33049
5	35818.78568
6	34861.85127
7	33986.76356
8	32892.51118
9	32029.65964
10	30797.00561
11	29697.1449
12	29128.51452
13	28427.28934
14	27703.37639
15	27193.41823
16	26137.24898
17	25264.74173
18	24544.01109
19	24008.90344
20	23442.71097
21	22887.53183
22	22282.44883
23	21688.75298
24	21107.67472
25	20585.60004
26	20152.51651
27	19667.04818
28	19224.66818
29	18633.74036
30	18123.74537
31	17673.73514
32	17201.97282
33	16771.50585
34	16235.99563
35	15807.25799
36	15424.90644
37	15046.08613
38	14701.17701
39	14346.49846
40	14071.39635
41	13746.19129
42	13455.09564
43	13190.38406
44	12885.64064
45	12647.22573
46	12326.58703
47	12103.14319
48	11782.43885
49	11554.17816
50	11290.73455
51	11023.30283
52	10820.43402
53	10584.40059
54	10329.99006
55	10074.50196
56	9903.430983
57	9683.35207
58	9523.196955
59	9308.433682
60	9154.875212
61	9003.10078
62	8792.711683
63	8664.602987
64	8503.230316
65	8340.789963
66	8161.971472
67	7966.978241
68	7844.930473
69	7711.892273
70	7566.822222
71	7445.531868
72	7323.411554
73	7208.746105
74	7077.654231
75	6980.061715
76	6856.760488
77	6761.984552
78	6630.180397
79	6530.793207
80	6448.097205
81	6360.530842
82	6248.571463
83	6167.741237
84	6073.297055
85	5933.958434
86	5822.620454
87	5744.956264
88	5680.597776
89	5612.468116
90	5514.994685
91	5450.704214
92	5376.782178
93	5309.437457
94	5241.137797
95	5173.562583
96	5093.221544
97	5027.285457
98	4952.128842
99	4894.906338
100	4815.626998
101	4758.26839
102	4656.121635
103	4562.868296
104	4507.021663
105	4460.859235
106	4405.637208
107	4341.487599
108	4282.151118
109	4217.507637
110	4164.777191
111	4114.244317
112	4056.335695
113	3995.31703
114	3935.01462
115	3871.408944
116	3827.663142
117	3778.349821
118	3732.501892
119	3673.489825
120	3618.803732
121	3572.602989
122	3517.842288
123	3478.828429
124	3437.123792
125	3394.527076
126	3350.981438
127	3314.596861
128	3267.861677
129	3222.535842
130	3184.46159
131	3150.416525
132	3105.488239
133	3070.146245
134	3040.161477
135	3011.353058
136	2973.3238
137	2942.877019
138	2908.373497
139	2882.410779
140	2852.254667
141	2826.923754
142	2801.397375
143	2771.933294
144	2744.584874
145	2709.591158
146	2685.059509
147	2658.85493
148	2635.034792
149	2607.397316
150	2584.167101
151	2553.197471
152	2529.100439
153	2498.715838
154	2476.581842
155	2455.507699
156	2428.469105
157	2404.983654
158	2380.497309
159	2354.819106
160	2330.556387
161	2308.774499
162	2287.742488
163	2268.812132
164	2250.067248
165	2233.200286
166	2214.419408
167	2197.243837
168	2181.65769
169	2159.479001
170	2139.839448
171	2124.322477
172	2105.554102
173	2085.875121
174	2069.870115
175	2052.579069
176	2031.18576
177	2007.349846
178	1986.602535
179	1971.847367
180	1955.07988
181	1940.633413
182	1923.340393
183	1905.782437
184	1887.73913
185	1867.937919
186	1854.316408
187	1837.872673
188	1822.577047
189	1806.855786
190	1792.94995
191	1776.744674
192	1765.082653
193	1751.493421
194	1736.140699
195	1722.891103
196	1711.466014
197	1698.428254
198	1684.064824
199	1671.589139
