iter	Passed	Remaining
0	28	5712
1	57	5667
2	95	6265
3	129	6322
4	166	6507
5	204	6612
6	235	6498
7	270	6481
8	304	6453
9	347	6596
10	384	6604
11	422	6623
12	459	6616
13	496	6595
14	533	6585
15	571	6576
16	610	6576
17	646	6536
18	683	6513
19	721	6490
20	757	6456
21	794	6425
22	832	6403
23	872	6397
24	917	6424
25	958	6411
26	1022	6549
27	1076	6611
28	1168	6892
29	1269	7196
30	1320	7197
31	1353	7107
32	1388	7024
33	1419	6932
34	1475	6955
35	1510	6880
36	1543	6801
37	1580	6739
38	1618	6681
39	1656	6625
40	1691	6560
41	1725	6492
42	1761	6430
43	1795	6365
44	1834	6319
45	1871	6265
46	1909	6217
47	1950	6177
48	1975	6086
49	2013	6039
50	2045	5977
51	2085	5936
52	2125	5894
53	2164	5852
54	2200	5802
55	2241	5763
56	2287	5737
57	2325	5692
58	2359	5639
59	2399	5599
60	2439	5559
61	2476	5513
62	2514	5467
63	2550	5419
64	2586	5371
65	2620	5320
66	2655	5271
67	2695	5231
68	2735	5194
69	2778	5160
70	2830	5143
71	2865	5094
72	2903	5050
73	2944	5013
74	2982	4971
75	3018	4924
76	3054	4879
77	3094	4840
78	3135	4801
79	3172	4758
80	3207	4712
81	3248	4674
82	3286	4632
83	3324	4591
84	3364	4551
85	3403	4511
86	3441	4469
87	3487	4438
88	3522	4392
89	3556	4346
90	3592	4302
91	3628	4259
92	3661	4212
93	3695	4167
94	3729	4122
95	3768	4082
96	3804	4040
97	3843	3999
98	3881	3959
99	3920	3920
100	3958	3880
101	3996	3839
102	4037	3801
103	4077	3764
104	4113	3721
105	4150	3680
106	4191	3643
107	4226	3599
108	4259	3555
109	4296	3515
110	4333	3474
111	4367	3431
112	4401	3389
113	4440	3349
114	4476	3308
115	4530	3280
116	4572	3243
117	4609	3202
118	4644	3161
119	4678	3119
120	4706	3072
121	4742	3032
122	4778	2991
123	4817	2952
124	4851	2911
125	4887	2870
126	4923	2829
127	4962	2791
128	4998	2751
129	5035	2711
130	5074	2672
131	5110	2632
132	5148	2593
133	5180	2551
134	5224	2515
135	5262	2476
136	5295	2435
137	5329	2394
138	5361	2353
139	5396	2312
140	5432	2273
141	5471	2234
142	5508	2195
143	5543	2155
144	5589	2120
145	5622	2079
146	5655	2039
147	5688	1998
148	5722	1958
149	5757	1919
150	5792	1879
151	5828	1840
152	5862	1800
153	5899	1762
154	5940	1724
155	5975	1685
156	6011	1646
157	6044	1606
158	6082	1568
159	6116	1529
160	6151	1490
161	6185	1450
162	6218	1411
163	6250	1372
164	6285	1333
165	6321	1294
166	6357	1256
167	6399	1218
168	6434	1180
169	6470	1141
170	6506	1103
171	6543	1065
172	6584	1027
173	6626	990
174	6658	951
175	6690	912
176	6724	873
177	6761	835
178	6795	797
179	6834	759
180	6870	721
181	6905	682
182	6941	644
183	6976	606
184	7011	568
185	7046	530
186	7085	492
187	7120	454
188	7156	416
189	7192	378
190	7228	340
191	7262	302
192	7297	264
193	7334	226
194	7368	188
195	7407	151
196	7442	113
197	7475	75
198	7509	37
199	7545	0
